feed_timestamp,iso_time_utc,route_id,trip_id,stop_id,delay_seconds
1767150129,2025-12-31T03:02:09+00:00,73,115554491,18659,
1767150129,2025-12-31T03:02:09+00:00,76,115554658,16964,
1767150129,2025-12-31T03:02:09+00:00,76,115554661,16964,
1767150129,2025-12-31T03:02:09+00:00,76,115554690,33528,
1767150129,2025-12-31T03:02:09+00:00,76,115554716,25313,
1767150129,2025-12-31T03:02:09+00:00,76,115554720,16324,
1767150129,2025-12-31T03:02:09+00:00,8,115554777,33344,
1767150129,2025-12-31T03:02:09+00:00,83L,115554982,12463,
1767150129,2025-12-31T03:02:09+00:00,83L,115554983,12463,
1767150129,2025-12-31T03:02:09+00:00,83D,115555023,12463,
1767150129,2025-12-31T03:02:09+00:00,83D,115555024,20128,
1767150129,2025-12-31T03:02:09+00:00,83D,115555060,14965,
1767150129,2025-12-31T03:02:09+00:00,83D,115555061,20885,
1767150129,2025-12-31T03:02:09+00:00,83L,115555092,33149,
1767150129,2025-12-31T03:02:09+00:00,83L,115555093,14965,
1767150129,2025-12-31T03:02:09+00:00,88,115555219,15481,
1767150129,2025-12-31T03:02:09+00:00,88,115555236,26086,
1767150129,2025-12-31T03:02:09+00:00,93L,115555608,35282,
1767150129,2025-12-31T03:02:09+00:00,A,115555880,34667,
1767150129,2025-12-31T03:02:09+00:00,A,115555887,34667,
1767150129,2025-12-31T03:02:09+00:00,A,115555890,34475,
1767150129,2025-12-31T03:02:09+00:00,A,115555921,34476,
1767150129,2025-12-31T03:02:09+00:00,A,115555922,34606,
1767150129,2025-12-31T03:02:09+00:00,A,115555923,34466,
1767150129,2025-12-31T03:02:09+00:00,A,115555975,34667,
1767150129,2025-12-31T03:02:09+00:00,ART,115556560,35234,
1767150129,2025-12-31T03:02:09+00:00,ART,115556561,35233,
1767150129,2025-12-31T03:02:09+00:00,ART,115556581,14723,
1767150129,2025-12-31T03:02:09+00:00,BOND,115556992,10726,
1767150129,2025-12-31T03:02:09+00:00,BOND,115557096,10846,
1767150129,2025-12-31T03:02:09+00:00,BOND,115557097,10726,
1767150129,2025-12-31T03:02:09+00:00,101D,115561582,24896,
1767150129,2025-12-31T03:02:09+00:00,101D,115561583,23042,
1767150129,2025-12-31T03:02:09+00:00,101E,115561657,35212,
1767150129,2025-12-31T03:02:09+00:00,101E,115561658,34011,
1767150129,2025-12-31T03:02:09+00:00,101E,115561659,25428,
1767150129,2025-12-31T03:02:09+00:00,101H,115561725,34578,
1767150129,2025-12-31T03:02:09+00:00,101H,115561726,25978,
1767150129,2025-12-31T03:02:09+00:00,101H,115561866,25978,
1767150129,2025-12-31T03:02:09+00:00,101D,115561958,25434,
1767150129,2025-12-31T03:02:09+00:00,101D,115561959,23060,
1767150129,2025-12-31T03:02:09+00:00,101E,115562021,25434,
1767150129,2025-12-31T03:02:09+00:00,101E,115562022,25431,
1767150129,2025-12-31T03:02:09+00:00,101E,115562023,25983,
1767150129,2025-12-31T03:02:09+00:00,103W,115563140,25427,
1767150129,2025-12-31T03:02:09+00:00,103W,115563142,33955,
1767150129,2025-12-31T03:02:09+00:00,103W,115563143,33959,
1767150129,2025-12-31T03:02:09+00:00,103W,115563145,33948,
1767150129,2025-12-31T03:02:09+00:00,103W,115563146,33955,
1767150129,2025-12-31T03:02:09+00:00,103W,115563228,33568,
1767150129,2025-12-31T03:02:09+00:00,103W,115563230,33558,
1767150129,2025-12-31T03:02:09+00:00,103W,115563231,33565,
1767150129,2025-12-31T03:02:09+00:00,103W,115563232,25434,
1767150129,2025-12-31T03:02:09+00:00,103W,115563233,25434,
1767150129,2025-12-31T03:02:09+00:00,107R,115563584,25974,
1767150129,2025-12-31T03:02:09+00:00,107R,115563615,34005,
1767150129,2025-12-31T03:02:09+00:00,107R,115563617,34585,
1767150129,2025-12-31T03:02:09+00:00,107R,115563633,34004,
1767150129,2025-12-31T03:02:09+00:00,107R,115563635,34584,
1767150129,2025-12-31T03:02:09+00:00,107R,115563639,34744,
1767150129,2025-12-31T03:02:09+00:00,104L,115564215,34650,
1767150129,2025-12-31T03:02:09+00:00,104L,115564240,33803,
1767150129,2025-12-31T03:02:09+00:00,104L,115564243,20980,
1767150129,2025-12-31T03:02:09+00:00,120,115564339,35276,
1767150129,2025-12-31T03:02:09+00:00,204,115564434,19825,
1767150129,2025-12-31T03:02:09+00:00,204,115564486,34335,
1767150129,2025-12-31T03:02:09+00:00,204,115564490,24253,
1767150129,2025-12-31T03:02:09+00:00,205,115564613,10726,
1767150129,2025-12-31T03:02:09+00:00,205,115564629,19690,
1767150129,2025-12-31T03:02:09+00:00,225D,115564855,12350,
1767150129,2025-12-31T03:02:09+00:00,225D,115564887,34847,
1767150129,2025-12-31T03:02:09+00:00,225,115564888,12432,
1767150129,2025-12-31T03:02:09+00:00,324,115565021,33914,
1767150129,2025-12-31T03:02:09+00:00,AB1,115565313,34783,
1767150129,2025-12-31T03:02:09+00:00,AB2,115565317,34650,
1767150129,2025-12-31T03:02:09+00:00,AB1,115565353,34656,
1767150129,2025-12-31T03:02:09+00:00,BOLT,115565461,18107,
1767150129,2025-12-31T03:02:09+00:00,BOLT,115565462,18011,
1767150129,2025-12-31T03:02:09+00:00,DASH,115565598,34847,
1767150129,2025-12-31T03:02:09+00:00,FF1,115565976,17891,
1767150129,2025-12-31T03:02:09+00:00,FF1,115565977,22903,
1767150129,2025-12-31T03:02:09+00:00,JUMP,115566175,25172,
1767150129,2025-12-31T03:02:09+00:00,JUMP,115566233,12233,
1767150129,2025-12-31T03:02:09+00:00,LD3,115566289,19963,
1767150129,2025-12-31T03:02:09+00:00,LD3,115566316,35486,
1767150129,2025-12-31T03:02:09+00:00,NB2,115566400,21897,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566707,33233,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566731,14126,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566733,17892,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566734,22004,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566876,12475,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566877,12475,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566878,12574,
1767150129,2025-12-31T03:02:09+00:00,SKIP,115566879,22876,
1767150129,2025-12-31T03:02:09+00:00,28,115567269,10556,
1767150129,2025-12-31T03:02:09+00:00,31,115567507,13742,
