feed_timestamp,iso_time_utc,route_id,trip_id,delay_seconds
1767148089,2025-12-31T02:28:09+00:00,92,115555489,
1767148089,2025-12-31T02:28:09+00:00,93L,115555607,
1767148089,2025-12-31T02:28:09+00:00,99,115555613,
1767148089,2025-12-31T02:28:09+00:00,99,115555659,
1767148089,2025-12-31T02:28:09+00:00,A,115555890,
1767148089,2025-12-31T02:28:09+00:00,A,115555891,
1767148089,2025-12-31T02:28:09+00:00,A,115555922,
1767148089,2025-12-31T02:28:09+00:00,A,115555923,
1767148089,2025-12-31T02:28:09+00:00,A,115555924,
1767148089,2025-12-31T02:28:09+00:00,A,115555975,
1767148089,2025-12-31T02:28:09+00:00,ART,115556561,
1767148089,2025-12-31T02:28:09+00:00,ART,115556581,
1767148089,2025-12-31T02:28:09+00:00,AT,115556713,
1767148089,2025-12-31T02:28:09+00:00,BOND,115556991,
1767148089,2025-12-31T02:28:09+00:00,BOND,115557094,
1767148089,2025-12-31T02:28:09+00:00,BOND,115557095,
1767148089,2025-12-31T02:28:09+00:00,BOND,115557096,
1767148089,2025-12-31T02:28:09+00:00,101D,115561583,
1767148089,2025-12-31T02:28:09+00:00,101D,115561584,
1767148089,2025-12-31T02:28:09+00:00,101E,115561658,
1767148089,2025-12-31T02:28:09+00:00,101E,115561659,
1767148089,2025-12-31T02:28:09+00:00,101E,115561660,
1767148089,2025-12-31T02:28:09+00:00,101E,115561661,
1767148089,2025-12-31T02:28:09+00:00,101H,115561726,
1767148089,2025-12-31T02:28:09+00:00,101H,115561727,
1767148089,2025-12-31T02:28:09+00:00,101D,115561768,
1767148089,2025-12-31T02:28:09+00:00,101H,115561867,
1767148089,2025-12-31T02:28:09+00:00,101D,115561902,
1767148089,2025-12-31T02:28:09+00:00,101D,115561959,
1767148089,2025-12-31T02:28:09+00:00,101D,115561960,
1767148089,2025-12-31T02:28:09+00:00,101D,115561961,
1767148089,2025-12-31T02:28:09+00:00,101E,115562022,
1767148089,2025-12-31T02:28:09+00:00,101E,115562023,
1767148089,2025-12-31T02:28:09+00:00,101E,115562024,
1767148089,2025-12-31T02:28:09+00:00,103W,115563138,
1767148089,2025-12-31T02:28:09+00:00,103W,115563140,
1767148089,2025-12-31T02:28:09+00:00,103W,115563141,
1767148089,2025-12-31T02:28:09+00:00,103W,115563142,
1767148089,2025-12-31T02:28:09+00:00,103W,115563143,
1767148089,2025-12-31T02:28:09+00:00,103W,115563226,
1767148089,2025-12-31T02:28:09+00:00,103W,115563228,
1767148089,2025-12-31T02:28:09+00:00,103W,115563229,
1767148089,2025-12-31T02:28:09+00:00,103W,115563230,
1767148089,2025-12-31T02:28:09+00:00,107R,115563584,
1767148089,2025-12-31T02:28:09+00:00,107R,115563614,
1767148089,2025-12-31T02:28:09+00:00,107R,115563617,
1767148089,2025-12-31T02:28:09+00:00,107R,115563632,
1767148089,2025-12-31T02:28:09+00:00,107R,115563633,
1767148089,2025-12-31T02:28:09+00:00,107R,115563635,
1767148089,2025-12-31T02:28:09+00:00,107R,115563658,
1767148089,2025-12-31T02:28:09+00:00,104L,115564212,
1767148089,2025-12-31T02:28:09+00:00,104L,115564215,
1767148089,2025-12-31T02:28:09+00:00,104L,115564243,
1767148089,2025-12-31T02:28:09+00:00,120,115564314,
1767148089,2025-12-31T02:28:09+00:00,120,115564340,
1767148089,2025-12-31T02:28:09+00:00,204,115564439,
1767148089,2025-12-31T02:28:09+00:00,204,115564455,
1767148089,2025-12-31T02:28:09+00:00,204,115564486,
1767148089,2025-12-31T02:28:09+00:00,205,115564607,
1767148089,2025-12-31T02:28:09+00:00,205,115564632,
1767148089,2025-12-31T02:28:09+00:00,225,115564840,
1767148089,2025-12-31T02:28:09+00:00,225D,115564856,
1767148089,2025-12-31T02:28:09+00:00,225D,115564889,
1767148089,2025-12-31T02:28:09+00:00,324,115565051,
1767148089,2025-12-31T02:28:09+00:00,326,115565108,
1767148089,2025-12-31T02:28:09+00:00,AB1,115565323,
1767148089,2025-12-31T02:28:09+00:00,AB2,115565328,
1767148089,2025-12-31T02:28:09+00:00,AB1,115565350,
1767148089,2025-12-31T02:28:09+00:00,AB1,115565353,
1767148089,2025-12-31T02:28:09+00:00,BOLT,115565443,
1767148089,2025-12-31T02:28:09+00:00,BOLT,115565444,
1767148089,2025-12-31T02:28:09+00:00,BOLT,115565462,
1767148089,2025-12-31T02:28:09+00:00,BOLT,115565463,
1767148089,2025-12-31T02:28:09+00:00,DASH,115565598,
1767148089,2025-12-31T02:28:09+00:00,DASH,115565599,
1767148089,2025-12-31T02:28:09+00:00,DASH,115565646,
1767148089,2025-12-31T02:28:09+00:00,FF1,115565869,
1767148089,2025-12-31T02:28:09+00:00,FF1,115565975,
1767148089,2025-12-31T02:28:09+00:00,FF1,115565976,
1767148089,2025-12-31T02:28:09+00:00,JUMP,115566192,
1767148089,2025-12-31T02:28:09+00:00,JUMP,115566234,
1767148089,2025-12-31T02:28:09+00:00,LD3,115566287,
1767148089,2025-12-31T02:28:09+00:00,NB2,115566407,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566706,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566707,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566708,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566878,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566879,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566880,
1767148089,2025-12-31T02:28:09+00:00,SKIP,115566881,
1767148089,2025-12-31T02:28:09+00:00,323,115566887,
1767148089,2025-12-31T02:28:09+00:00,323,115566888,
1767148089,2025-12-31T02:28:09+00:00,28,115567239,
1767148089,2025-12-31T02:28:09+00:00,28,115567265,
1767148089,2025-12-31T02:28:09+00:00,28,115567269,
1767148089,2025-12-31T02:28:09+00:00,31,115567507,
1767148089,2025-12-31T02:28:09+00:00,31,115567515,
1767148089,2025-12-31T02:28:09+00:00,31,115567558,
1767148089,2025-12-31T02:28:09+00:00,31,115567559,
1767148089,2025-12-31T02:28:09+00:00,31,115567636,
1767148089,2025-12-31T02:28:09+00:00,31,115567657,
1767148089,2025-12-31T02:28:09+00:00,31,115567658,
1767148089,2025-12-31T02:28:09+00:00,31,115567666,
1767148089,2025-12-31T02:28:09+00:00,44,115567758,
1767148089,2025-12-31T02:28:09+00:00,44,115567779,
1767148089,2025-12-31T02:28:09+00:00,44,115567790,
1767148089,2025-12-31T02:28:09+00:00,100,115567892,
1767148089,2025-12-31T02:28:09+00:00,21,115568063,
1767148089,2025-12-31T02:28:09+00:00,21,115568064,
1767148089,2025-12-31T02:28:09+00:00,21,115568065,
1767148089,2025-12-31T02:28:09+00:00,21,115568108,
1767148089,2025-12-31T02:28:09+00:00,21,115568119,
1767148089,2025-12-31T02:28:09+00:00,32,115568209,
1767148089,2025-12-31T02:28:09+00:00,35,115568312,
1767148089,2025-12-31T02:28:09+00:00,35,115568313,
1767148089,2025-12-31T02:28:09+00:00,35,115568314,
1767148089,2025-12-31T02:28:09+00:00,35,115568344,
1767148089,2025-12-31T02:28:09+00:00,35,115568345,
1767148089,2025-12-31T02:28:09+00:00,35,115568346,
1767148089,2025-12-31T02:28:09+00:00,52,115568785,
1767148089,2025-12-31T02:28:09+00:00,52,115568786,
1767148089,2025-12-31T02:28:09+00:00,52,115568820,
1767148089,2025-12-31T02:28:09+00:00,52,115568824,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569728,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569729,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569730,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569731,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569923,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569924,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569925,
1767148089,2025-12-31T02:28:09+00:00,FREE,115569926,
1767148089,2025-12-31T02:28:09+00:00,30,115570243,
1767148089,2025-12-31T02:28:09+00:00,30,115570308,
1767148089,2025-12-31T02:28:09+00:00,38,115570506,
1767148089,2025-12-31T02:28:09+00:00,38,115570514,
1767148089,2025-12-31T02:28:09+00:00,38,115570518,
1767148089,2025-12-31T02:28:09+00:00,38,115570550,
1767148089,2025-12-31T02:28:09+00:00,38,115570558,
1767148089,2025-12-31T02:28:09+00:00,38,115570561,
1767148089,2025-12-31T02:28:09+00:00,38,115570562,
1767148089,2025-12-31T02:28:09+00:00,38,115570564,
1767148089,2025-12-31T02:28:09+00:00,101S,115781864,
1767148089,2025-12-31T02:28:09+00:00,101S,115781865,
1767148089,2025-12-31T02:28:09+00:00,101S,115781866,
1767148089,2025-12-31T02:28:09+00:00,101S,115781924,
1767148089,2025-12-31T02:28:09+00:00,101S,115781925,
1767148089,2025-12-31T02:28:09+00:00,101S,115781959,
1767148089,2025-12-31T02:28:09+00:00,101S,115781966,
1767148089,2025-12-31T02:28:09+00:00,101S,115781972,
1767148089,2025-12-31T02:28:09+00:00,101S,115781973,
